skill,cm,UE,EU,U,E,US,F_flows,f_flows,F_short,f_short,MA_F_flows,MA_f_flows,MA_F_short,MA_f_short
"0. Low",1996m1,1445699,1107592,5218791,6.50e+07,2146073,.2315772,.2634152,.3649155,.4539973,,,,
"0. Low",1996m2,1258467,995552,5005790,6.56e+07,1691417,.2127405,.2391973,.3237495,.3911917,,,,
"0. Low",1996m3,1256228,992120,4932976,6.64e+07,1547808,.305025,.3638794,.4015112,.5133474,,,,
"0. Low",1996m4,1374045,1034212,4462507,6.66e+07,1510176,.2380944,.2719326,.3889724,.4926131,,,,
"0. Low",1996m5,1195758,1067679,4467688,6.74e+07,1740973,.2418177,.2768314,.4514595,.6004941,,,,
"0. Low",1996m6,1283988,1159600,4546922,6.86e+07,2096214,.1651196,.1804668,.3782163,.475163,,,,
"0. Low",1996m7,1551788,1005944,4802080,6.84e+07,1974878,.3328179,.4046922,.4565051,.609735,.2343772,.2751839,.3866481,.4912415
"0. Low",1996m8,1253819,1025715,4229577,6.88e+07,1619671,.2083388,.2336217,.4140308,.534488,.2349995,.2760057,.388168,.493565
"0. Low",1996m9,1247277,914321,4262713,6.78e+07,1784311,.3194172,.3848059,.4002064,.5111697,.2352084,.2763191,.390114,.4966554
"0. Low",1996m10,1174802,1203023,4104152,6.85e+07,1547404,.1345762,.1445359,.3619537,.4493444,.2393901,.2821884,.3943929,.5041345
"0. Low",1996m11,978284,910573,4462404,6.87e+07,1843765,.4034776,.5166385,.3892476,.4930636,.2399561,.2834719,.396713,.5081943
"0. Low",1996m12,1028861,1560741,4222665,6.79e+07,1497241,.0112782,.0113423,.3044092,.3629937,.2409096,.2847734,.3984064,.5109927
"0. Low",1997m1,1391253,1036810,5211851,6.71e+07,2274604,.2480698,.2851118,.3741164,.4685909,.2428674,.2869006,.3990083,.5119039
"0. Low",1997m2,1299211,941150,4860098,6.74e+07,1598086,.2111832,.2372212,.3510252,.4323614,.243661,.2876923,.3979659,.5100695
"0. Low",1997m3,1308020,924456,4758183,6.81e+07,1604102,.3115954,.3733785,.4209399,.546349,.2435363,.2873193,.4003295,.5141559
"0. Low",1997m4,1477749,992210,4267765,6.80e+07,1512491,.3318859,.4032963,.4722378,.6391096,.2457586,.2896565,.4038017,.5199276
"0. Low",1997m5,1207301,1153069,4004423,6.91e+07,1752058,.1616088,.1762705,.4238758,.551432,.2508349,.2958541,.4071634,.5254735
"0. Low",1997m6,1348253,1065263,4422536,7.00e+07,2115491,.2682129,.3122656,.4464414,.5913876,.2527898,.2976402,.4090176,.5284028
"0. Low",1997m7,1273524,951595,4187950,7.00e+07,1739817,.2767106,.3239458,.4027264,.51538,.2556291,.3007415,.4112592,.5319386
"0. Low",1997m8,1115486,984708,4013808,6.98e+07,1512456,.2834941,.3333688,.4427917,.5848162,.2564572,.3018286,.4142501,.5367665
"0. Low",1997m9,1300380,1011191,3887108,6.85e+07,1650581,.2412691,.2761081,.4281708,.5589149,.2590075,.3056014,.4188637,.5448843
"0. Low",1997m10,1061338,925918,3875187,6.99e+07,1652425,.2660584,.3093258,.417322,.5401206,.2580478,.3044477,.4220075,.5506948
"0. Low",1997m11,1040053,1062280,3906441,6.93e+07,1648455,.3938278,.5005912,.4145589,.5353897,.2557458,.3010035,.4218927,.5505096
"0. Low",1997m12,923640,1387138,3755114,6.95e+07,1468123,.0678451,.0702562,.3235998,.3909703,.2553212,.3003223,.4212694,.5494059
"0. Low",1998m1,1304396,1061282,4561630,6.79e+07,2021670,.2596464,.3006274,.4087247,.5254736,.2571721,.303181,.4239101,.5541235
"0. Low",1998m2,1183210,956586,4333805,6.82e+07,1636626,.219482,.2477974,.3881986,.4913475,.2601113,.3074858,.4280141,.5615073
"0. Low",1998m3,1470965,913874,4296487,6.85e+07,1645059,.3645041,.4533496,.4944919,.6821913,.2605442,.3080503,.4303252,.5657011
"0. Low",1998m4,1109925,877885,3608285,6.94e+07,1436376,.2559421,.2956364,.4741383,.6427169,.2613166,.3090834,.4315189,.5678538
