native,skill,cm,U,E,LF,u,MA_LF,MA_u
"0. Immigrant","0. Low",1996m1,842580,7685877,8528457,.0987963,,
"0. Immigrant","0. Low",1996m2,745038,7884463,8629501,.0863362,,
"0. Immigrant","0. Low",1996m3,780187,7871438,8651625,.0901781,,
"0. Immigrant","0. Low",1996m4,769463,8060860,8830323,.0871387,,
"0. Immigrant","0. Low",1996m5,662004,8090559,8752563,.0756354,,
"0. Immigrant","0. Low",1996m6,658268,8078467,8736735,.0753449,,
"0. Immigrant","0. Low",1996m7,633624,7857619,8491243,.0746209,8761068,.0776745
"0. Immigrant","0. Low",1996m8,614193,8225328,8839521,.0694826,8810263,.0769097
"0. Immigrant","0. Low",1996m9,612331,8037636,8649967,.07079,8860921,.0761087
"0. Immigrant","0. Low",1996m10,621119,8301247,8922366,.0696137,8901611,.07534
"0. Immigrant","0. Low",1996m11,630071,8277078,8907149,.0707377,8928844,.0745128
"0. Immigrant","0. Low",1996m12,602392,8276985,8879377,.0678417,8952003,.0736453
"0. Immigrant","0. Low",1997m1,823632,8332805,9156437,.0899511,8976697,.0730785
"0. Immigrant","0. Low",1997m2,705452,8476753,9182205,.0768282,9006722,.0724294
"0. Immigrant","0. Low",1997m3,749477,8565246,9314723,.0804615,9044491,.0717609
"0. Immigrant","0. Low",1997m4,716917,8426841,9143758,.0784051,9089141,.07129
"0. Immigrant","0. Low",1997m5,586637,8506099,9092736,.0645171,9124089,.0707783
"0. Immigrant","0. Low",1997m6,587655,8364717,8952372,.0656424,9156320,.0707195
"0. Immigrant","0. Low",1997m7,627173,8241077,8868250,.0707212,9184091,.0700454
"0. Immigrant","0. Low",1997m8,530824,8652301,9183125,.0578043,9201698,.0689514
"0. Immigrant","0. Low",1997m9,611950,8600855,9212805,.0664239,9216417,.0682016
"0. Immigrant","0. Low",1997m10,591127,8840015,9431142,.0626782,9233199,.0668011
"0. Immigrant","0. Low",1997m11,604029,8633101,9237130,.0653914,9258377,.0655583
"0. Immigrant","0. Low",1997m12,669180,8653752,9322932,.0717779,9285850,.0650985
"0. Immigrant","0. Low",1998m1,655013,8724373,9379386,.0698354,9322583,.0646598
"0. Immigrant","0. Low",1998m2,663200,8718631,9381831,.0706898,9364701,.0640815
"0. Immigrant","0. Low",1998m3,649563,8818783,9468346,.0686036,9397485,.0632173
"0. Immigrant","0. Low",1998m4,532117,8860790,9392907,.0566509,9421109,.0625997
"0. Immigrant","0. Low",1998m5,533271,8914597,9447868,.0564435,9441467,.0622774
"0. Immigrant","0. Low",1998m6,580217,8676362,9256579,.0626816,9455354,.061607
"0. Immigrant","0. Low",1998m7,596520,8849113,9445633,.063153,9462751,.0612081
"0. Immigrant","0. Low",1998m8,495188,9121401,9616589,.0514931,9460386,.0609481
"0. Immigrant","0. Low",1998m9,497383,9068776,9566159,.051994,9447251,.0603543
"0. Immigrant","0. Low",1998m10,600746,9044024,9644770,.0622872,9437887,.0600104
"0. Immigrant","0. Low",1998m11,552136,8959957,9512093,.0580457,9435366,.0598083
"0. Immigrant","0. Low",1998m12,591348,8789900,9381248,.0630351,9442869,.0592162
"0. Immigrant","0. Low",1999m1,655433,8843156,9498589,.0690032,9443771,.0586826
"0. Immigrant","0. Low",1999m2,600987,8604887,9205874,.065283,9435999,.058885
"0. Immigrant","0. Low",1999m3,557503,8771562,9329065,.0597598,9444517,.0592479
"0. Immigrant","0. Low",1999m4,532762,8774698,9307460,.0572403,9468143,.0586958
"0. Immigrant","0. Low",1999m5,483136,8989669,9472805,.0510024,9499987,.0577931
"0. Immigrant","0. Low",1999m6,507420,8904283,9411703,.0539137,9545824,.0568569
"0. Immigrant","0. Low",1999m7,550474,8761682,9312156,.0591135,9629715,.0558626
"0. Immigrant","0. Low",1999m8,577548,8985988,9563536,.0603906,9726801,.0549926
"0. Immigrant","0. Low",1999m9,508921,9314735,9823656,.0518057,9819073,.054527
"0. Immigrant","0. Low",1999m10,490003,9464297,9954300,.0492253,9921940,.0540807
"0. Immigrant","0. Low",1999m11,492787,9474017,9966804,.0494428,1.00e+07,.0532545
