native,skill,cm,hourwage,MA_wage
"0. Immigrant","0. Low",1996m1,8.88,
"0. Immigrant","0. Low",1996m2,8.38,
"0. Immigrant","0. Low",1996m3,8.20,
"0. Immigrant","0. Low",1996m4,8.15,
"0. Immigrant","0. Low",1996m5,8.23,
"0. Immigrant","0. Low",1996m6,8.39,
"0. Immigrant","0. Low",1996m7,8.56,8.487319
"0. Immigrant","0. Low",1996m8,8.33,8.49071
"0. Immigrant","0. Low",1996m9,8.67,8.522171
"0. Immigrant","0. Low",1996m10,8.67,8.569698
"0. Immigrant","0. Low",1996m11,9.17,8.60702
"0. Immigrant","0. Low",1996m12,8.34,8.634258
"0. Immigrant","0. Low",1997m1,8.60,8.654062
"0. Immigrant","0. Low",1997m2,8.74,8.660754
"0. Immigrant","0. Low",1997m3,8.60,8.679929
"0. Immigrant","0. Low",1997m4,8.89,8.697565
"0. Immigrant","0. Low",1997m5,8.39,8.70218
"0. Immigrant","0. Low",1997m6,8.89,8.730699
"0. Immigrant","0. Low",1997m7,8.53,8.764525
"0. Immigrant","0. Low",1997m8,8.52,8.790019
"0. Immigrant","0. Low",1997m9,8.95,8.834415
"0. Immigrant","0. Low",1997m10,8.82,8.869287
"0. Immigrant","0. Low",1997m11,9.13,8.912475
"0. Immigrant","0. Low",1997m12,9.06,8.959374
"0. Immigrant","0. Low",1998m1,8.69,8.995181
"0. Immigrant","0. Low",1998m2,9.26,9.040949
"0. Immigrant","0. Low",1998m3,9.14,9.07222
"0. Immigrant","0. Low",1998m4,9.19,9.08969
"0. Immigrant","0. Low",1998m5,9.13,9.117838
"0. Immigrant","0. Low",1998m6,9.28,9.151174
"0. Immigrant","0. Low",1998m7,9.01,9.188385
"0. Immigrant","0. Low",1998m8,9.14,9.216051
"0. Immigrant","0. Low",1998m9,9.07,9.224705
"0. Immigrant","0. Low",1998m10,9.11,9.233543
"0. Immigrant","0. Low",1998m11,9.52,9.266787
"0. Immigrant","0. Low",1998m12,9.47,9.295546
"0. Immigrant","0. Low",1999m1,9.17,9.317487
"0. Immigrant","0. Low",1999m2,9.45,9.35489
"0. Immigrant","0. Low",1999m3,9.17,9.382542
"0. Immigrant","0. Low",1999m4,9.38,9.417903
"0. Immigrant","0. Low",1999m5,9.73,9.431375
"0. Immigrant","0. Low",1999m6,9.36,9.42039
"0. Immigrant","0. Low",1999m7,9.45,9.435312
"0. Immigrant","0. Low",1999m8,9.60,9.458435
"0. Immigrant","0. Low",1999m9,9.28,9.486763
"0. Immigrant","0. Low",1999m10,9.75,9.517782
"0. Immigrant","0. Low",1999m11,9.20,9.528157
"0. Immigrant","0. Low",1999m12,9.53,9.541247
"0. Immigrant","0. Low",2000m1,9.47,9.571719
"0. Immigrant","0. Low",2000m2,9.70,9.5995
"0. Immigrant","0. Low",2000m3,9.60,9.640512
"0. Immigrant","0. Low",2000m4,9.69,9.6801
"0. Immigrant","0. Low",2000m5,9.67,9.720583
"0. Immigrant","0. Low",2000m6,9.74,9.778287
"0. Immigrant","0. Low",2000m7,9.81,9.840266
"0. Immigrant","0. Low",2000m8,9.91,9.879344
"0. Immigrant","0. Low",2000m9,9.95,9.898152
"0. Immigrant","0. Low",2000m10,10.03,9.970778
"0. Immigrant","0. Low",2000m11,9.89,10.05337
"0. Immigrant","0. Low",2000m12,10.22,10.135
"0. Immigrant","0. Low",2001m1,10.27,10.21886
"0. Immigrant","0. Low",2001m2,9.84,10.27905
"0. Immigrant","0. Low",2001m3,9.90,10.3298
"0. Immigrant","0. Low",2001m4,11.13,10.34971
"0. Immigrant","0. Low",2001m5,10.22,10.39139
"0. Immigrant","0. Low",2001m6,11.15,10.43572
"0. Immigrant","0. Low",2001m7,10.41,10.45129
"0. Immigrant","0. Low",2001m8,10.75,10.4717
"0. Immigrant","0. Low",2001m9,10.33,10.50363
"0. Immigrant","0. Low",2001m10,10.14,10.50584
"0. Immigrant","0. Low",2001m11,10.79,10.50734
"0. Immigrant","0. Low",2001m12,10.39,10.50751
"0. Immigrant","0. Low",2002m1,10.47,10.4774
"0. Immigrant","0. Low",2002m2,10.13,10.44042
"0. Immigrant","0. Low",2002m3,10.39,10.42276
"0. Immigrant","0. Low",2002m4,10.70,10.4424
"0. Immigrant","0. Low",2002m5,10.68,10.44166
"0. Immigrant","0. Low",2002m6,10.69,10.45222
"0. Immigrant","0. Low",2002m7,10.14,10.50209
"0. Immigrant","0. Low",2002m8,10.13,10.54228
"0. Immigrant","0. Low",2002m9,10.53,10.56679
"0. Immigrant","0. Low",2002m10,10.41,10.57917
"0. Immigrant","0. Low",2002m11,10.50,10.58469
"0. Immigrant","0. Low",2002m12,10.93,10.59152
"0. Immigrant","0. Low",2003m1,11.13,10.6229
"0. Immigrant","0. Low",2003m2,10.44,10.69443
"0. Immigrant","0. Low",2003m3,10.67,10.75289
"0. Immigrant","0. Low",2003m4,10.72,10.80941
"0. Immigrant","0. Low",2003m5,10.80,10.86111
"0. Immigrant","0. Low",2003m6,10.74,10.87705
"0. Immigrant","0. Low",2003m7,10.85,10.8651
"0. Immigrant","0. Low",2003m8,11.14,10.86169
"0. Immigrant","0. Low",2003m9,10.92,10.89441
"0. Immigrant","0. Low",2003m10,11.37,10.92146
"0. Immigrant","0. Low",2003m11,10.78,10.92851
"0. Immigrant","0. Low",2003m12,11.04,10.93891
"0. Immigrant","0. Low",2004m1,10.73,10.96134
"0. Immigrant","0. Low",2004m2,10.75,10.97235
"0. Immigrant","0. Low",2004m3,11.14,10.97719
"0. Immigrant","0. Low",2004m4,10.89,10.97735
"0. Immigrant","0. Low",2004m5,10.79,10.99369
